guidance,conjunto,requested_bin,requested_centre,seed_row,seed_smiles,seed_value,generated,valid,generated_value,obtained_delta,is_copy
1.0,ESOL,0,-1.2959600001573561,0,ICI,1.8139,CC(C=CSS1(N)CS(CC[SH](S)[SH](N)S2(N)NC=CC=CN=C(N3C=NNCS(=O)(=O)NSNCC3)N2)=CC=CCSN1)N[SH](C)CNSN,True,1.684500000000003,-0.12939999999999707,False
1.0,ESOL,0,-1.2959600001573561,1,C=CC(C)C,1.8284,CCNS(=O)(=O)CCNC(=O)Nc1c(C)cccc1C,True,1.3642399999999992,-0.4641600000000008,False
1.0,ESOL,0,-1.2959600001573561,2,CCCCCCl,2.415400000000001,CCS(=O)(=O)C=CC(CNS(=O)(=O)CC)C(C)C,True,1.1462999999999997,-1.2691000000000012,False
1.0,ESOL,0,-1.2959600001573561,3,C=CCCC=C,2.1386000000000003,C=CCNC(=O)OCCNC(=O)C1C#CC(C)C(C)=C(SC)C=C1,True,2.4773000000000005,0.3387000000000002,False
1.0,ESOL,0,-1.2959600001573561,4,O=Cc1ccco1,1.0920999999999998,Nc1nc(-c2ccco2)ccc1NS(N)(=O)=O,True,0.5392000000000001,-0.5528999999999997,False
1.0,ESOL,0,-1.2959600001573561,5,CCCOCCC,1.823,CCS(=O)(=O)NCCCOC(C)CC#CC(C)O,True,0.4951999999999999,-1.3278,False
1.0,ESOL,0,-1.2959600001573561,6,Nc1ccccc1O,0.9743999999999999,Nc1ccc(O)cc1-c1ccc(O)cc1O,True,2.0526000000000004,1.0782000000000005,False
1.0,ESOL,0,-1.2959600001573561,7,CCc1ccccn1,1.644,COC=C1C=NOC(c2ccccc2CCN)=C1,True,2.075,0.43100000000000027,False
1.0,ESOL,0,-1.2959600001573561,8,O=c1cc[nH]c(=O)[nH]1,-0.9368000000000001,NS(=O)(=O)Cc1ccc[nH]c(=O)cc(C#CCCO)[nH]1,True,-0.6502000000000003,0.28659999999999974,False
1.0,ESOL,0,-1.2959600001573561,9,CN(C)c1ccccc1,1.7526,O=C(c1ccccc1O)N(CCO)c1ccccc1,True,2.0313,0.27869999999999995,False
1.0,ESOL,0,-1.2959600001573561,10,Cn1ccc(=O)[nH]c1=O,-0.9264000000000001,O=C1C=C(c2cscc2CO)N1CCO,True,0.4157999999999998,1.3421999999999998,False
1.0,ESOL,0,-1.2959600001573561,11,C1CCC2CCCCC2C1,3.3668000000000022,O=S1(=O)C=CC=CC2(CCCC2C2CCCC2O)N1,True,1.6892,-1.6776000000000022,False
1.0,ESOL,0,-1.2959600001573561,12,Cc1ccccc1C(C)C,3.118420000000002,CC(=O)c1cccc(C(=O)C(N)=O)c1-c1ccccc1C(C)C,True,3.3476000000000017,0.2291799999999995,False
1.0,ESOL,0,-1.2959600001573561,13,Brc1ccc2ccccc2c1,3.6023000000000014,NS(=O)(=O)NCC(=O)Nc1ccc2ccccc2c1,True,0.5714000000000006,-3.030900000000001,False
1.0,ESOL,0,-1.2959600001573561,14,CC12CCC(CC1)C(C)(C)O2,2.7441000000000013,CCOCCC1COCC(C)(C)OC1C,True,2.2431,-0.5010000000000012,False
1.0,ESOL,0,-1.2959600001573561,15,CC1=CC(=O)c2ccccc2C1=O,2.0119000000000002,Cc1cccccc(=O)c2ccc1cc2S(N)(=O)=O,True,1.71802,-0.29388000000000014,False
1.0,ESOL,0,-1.2959600001573561,16,Cc1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O,1.5170199999999998,[NH]C=C(N)C(=O)NC1COC=CC=C1O,True,-0.46000000000000046,-1.9770200000000002,False
1.0,ESOL,0,-1.2959600001573561,17,Cc1cccc2c1Cc1ccccc1-2,3.566220000000002,CN1CCc2c(C3=CC=CC(O)C3OCCO)cccc21,True,1.3704999999999996,-2.1957200000000023,False
1.0,ESOL,0,-1.2959600001573561,18,Nc1cnn(-c2ccccc2)c(=O)c1Br,1.5772000000000002,C=C(C=CC=C[SH](=O)=O)n1ncc(N)c(N)c1=O,True,-0.44029999999999964,-2.0174999999999996,False
1.0,ESOL,0,-1.2959600001573561,19,Cc1cccc2c1ccc1ccccc12,4.301420000000003,O=C(CO)NCc1cc(O)ccc1C=Cc1ccccc1,True,2.1711,-2.130320000000003,False
1.0,ESOL,0,-1.2959600001573561,20,CCNc1nc(Cl)nc(NC(C)(C)C#N)n1,1.6708799999999997,CC(C#N)Nc1nc(CC#N)nc(N(C)C)n1,True,0.3276599999999996,-1.34322,False
1.0,ESOL,0,-1.2959600001573561,21,C=C(Br)CC1(C(C)CC)C(=O)NC(=O)NC1=O,1.6835999999999995,CC(C)OC(=O)C(NC(=O)NC=O)C(C)C,True,0.4181999999999997,-1.2653999999999999,False
1.0,ESOL,0,-1.2959600001573561,22,CCOP(=S)(OCC)Oc1nc(Cl)n(C(C)C)n1,3.1887000000000016,COCCOCc1nc(C)n(CC(=O)NC(C)C)n1,True,0.2741200000000006,-2.914580000000001,False
1.0,ESOL,0,-1.2959600001573561,23,CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC,2.1218000000000004,CCOC(=O)C(OS(C)(=O)=O)S(=O)(=O)CC,True,-0.7134999999999996,-2.8353,False
1.0,ESOL,0,-1.2959600001573561,24,Cc1c2ccccc2c(C)c2c1ccc1ccccc12,5.763040000000005,NC(=O)C=CN=CC=c1ccccc1=CC=Cc1ccccc1,True,2.0307999999999997,-3.732240000000005,False
1.0,ESOL,0,-1.2959600001573561,25,CCN1c2ncccc2C(=O)Nc2c(C)cc(C)nc21,2.817140000000001,COc1ccc(C(N)=O)cc1NC1=NC=CC=C(C=O)C1,True,1.6472,-1.169940000000001,False
1.0,ESOL,0,-1.2959600001573561,26,CCOC(=O)NCCOc1ccc(Oc2ccccc2)cc1,3.6038000000000023,CC(=O)N(CCO)C(=O)NCCOc1cccc(Oc2ccccc2)c1,True,2.4081,-1.1957000000000022,False
