guidance,request,requested_bin,requested_centre,bin_lo,bin_hi,seed_row,seed_smiles,seed_value,generated,valid,generated_value,obtained_delta,tanimoto_to_seed,is_copy,novel
1.0,null,20,,,,32052,COc1ccccc1CNC(=O)Cc1c[nH]c2ccccc12,3.035400000000001,Cc1ccc(CNC(=O)Cc2c[nH]c3ccccc23)c(F)c1,True,3.4743200000000014,0.4389200000000004,0.5961538461538461,False,True
1.0,null,20,,,,116747,COCCSc1ccccc1C(=O)Nc1cccc(C)n1,3.3808200000000017,C=CCSc1ccccc1C(=O)Nc1cc(OC)ccn1,True,3.6206000000000014,0.23977999999999966,0.45901639344262296,False,True
1.0,null,20,,,,131060,CS(=O)(=O)NCCc1csc(-c2ccc(F)cc2)n1,2.0408999999999997,Cc1ccc(-c2nc(CCN(C)S(C)(=O)=O)cs2)cc1,True,2.5524200000000006,0.5115200000000009,0.49019607843137253,False,True
1.0,null,20,,,,131949,CCc1c(C)nc(SCC(=O)NC(C)C)[nH]c1=O,1.25742,CCNC(=O)CSc1nc(C)c(Cl)c(=O)[nH]1,True,0.9599199999999999,-0.2975000000000001,0.52,False,True
1.0,null,20,,,,158879,COc1ccc(CC(=O)OCC(=O)c2c[nH]c3ccccc23)cc1,3.145100000000001,COc1ccc(CC(=O)OCC(=O)c2c[nH]c3ccccc23)cc1,True,3.145100000000001,0.0,1.0,True,False
1.0,null,20,,,,232056,COCCNC(=O)c1cc(=O)c2cc(C)ccc2o1,1.4776199999999993,CC(CO)NC(=O)c1cc(=O)c2c(o1)=CCC=2,True,-1.2848999999999988,-2.762519999999998,0.3220338983050847,False,True
1.0,null,20,,,,235788,O=C(Cn1nc(-c2ccco2)oc1=O)NCC(F)(F)F,0.7747999999999999,COC(=O)N(CCCCC#N)Cc1ccco1,True,2.541880000000001,1.7670800000000009,0.19718309859154928,False,True
1.0,null,20,,,,236081,CC(=O)c1c(C)[nH]c(C(=O)CSc2nc(C(C)C)n[nH]2)c1C,3.0506400000000014,COC(=O)c1c(C)[nH]c(C(=O)CSc2nc(C(C)C)n[nH]2)c1C,True,2.63464,-0.41600000000000126,0.78,False,False
1.0,null,20,,,,281081,O=C(Cn1cccn1)NCc1cccnc1Oc1ccc(F)cc1F,2.665000000000001,O=C(Cn1cccn1)NCc1cccnc1Oc1cccc(F)c1,True,2.5259,-0.1391000000000009,0.7457627118644068,False,True
1.0,null,20,,,,284170,COc1ccc(-c2nc(CC(=O)Nc3cccc(C)n3)cs2)cc1,3.7033200000000024,O=C(Cc1csc(-c2cccc(F)c2)n1)Nc1ccccn1,True,3.525400000000002,-0.1779200000000003,0.5,False,False
